stratum.antpool.com,3333,btc,
stratum.antpool.com,443,btc,
stratum.antpool.com,25,btc,
us-east.stratum.slushpool.com,3333,btc,
eu.stratum.slushpool.com,3333,btc,
cn.stratum.slushpool.com,3333,btc,
cn.stratum.slushpool.com,443,btc,
sg.stratum.slushpool.com,3333,btc,
stratum-eth.antpool.com,8008,eth,
stratum-eth.antpool.com,443,eth,
stratum-eth.antpool.com,25,eth,
stratum-ltc.antpool.com,8888,ltc,
stratum-ltc.antpool.com,443,ltc,
stratum-ltc.antpool.com,25,ltc,
stratum-zec.antpool.com,8899,zec,
stratum-zec.antpool.com,443,zec,
stratum-zec.antpool.com,25,zec,
eth-eu1.nanopool.org,9999,eth,
eth-eu2.nanopool.org,9999,eth,
eth-us-east1.nanopool.org,9999,eth,
eth-us-west1.nanopool.org,9999,eth,
eth-asia1.nanopool.org,9999,eth,
eth-jp1.nanopool.org,9999,eth,
eth-au1.nanopool.org,9999,eth,
eu1.ethermine.org,4444,eth,
eu1.ethermine.org,14444,eth,
us1.ethermine.org,4444,eth,
us1.ethermine.org,14444,eth,
us2.ethermine.org,4444,eth,
us2.ethermine.org,14444,eth,
us1.ethpool.org,3333,eth,
us2.ethpool.org,3333,eth,
eu1.ethpool.org,3333,eth,
asia1.ethpool.org,3333,eth,
eth-eu.dwarfpool.com,8008,eth,
eth-us.dwarfpool.com,8008,eth,
eth-us2.dwarfpool.com,8008,eth,
eth-ru.dwarfpool.com,8008,eth,
eth-asia.dwarfpool.com,8008,eth,
eth-cn.dwarfpool.com,8008,eth,
eth-cn2.dwarfpool.com,8008,eth,
eth-sg.dwarfpool.com,8008,eth,
eth-au.dwarfpool.com,8008,eth,
eth-ru2.dwarfpool.com,8008,eth,
eth-hk.dwarfpool.com,8008,eth,
eth-br.dwarfpool.com,8008,eth,
eth-ar.dwarfpool.com,8008,eth,
xmr-eu1.nanopool.org,14444,xmr,
xmr-eu1.nanopool.org,14433,xmr,TLS port
xmr-eu2.nanopool.org,14444,xmr,
xmr-eu2.nanopool.org,14433,xmr,TLS port
xmr-us-east1.nanopool.org,14444,xmr,
xmr-us-east1.nanopool.org,14433,xmr,TLS port
xmr-us-west1.nanopool.org,14444,xmr,
xmr-us-west1.nanopool.org,14433,xmr,TLS port
xmr-asia1.nanopool.org,14444,xmr,
xmr-asia1.nanopool.org,14433,xmr,TLS port
xmr-jp1.nanopool.org,14444,xmr,
xmr-jp1.nanopool.org,14433,xmr,TLS port
xmr-au1.nanopool.org,14444,xmr,
xmr-au1.nanopool.org,14433,xmr,TLS port
pool.supportxmr.com,5555,xmr,
mine.xmrpool.net,80,xmr,
mine.xmrpool.net,443,xmr,
mine.xmrpool.net,3333,xmr,
mine.xmrpool.net,3334,xmr,
mine.xmrpool.net,5555,xmr,
mine.xmrpool.net,5556,xmr,
mine.xmrpool.net,7777,xmr,
mine.xmrpool.net,8000,xmr,
mine.xmrpool.net,8001,xmr,
xmr.crypto-pool.fr,3333,xmr,
xmr.crypto-pool.fr,6666,xmr,
xmr.crypto-pool.fr,7777,xmr,
xmr.crypto-pool.fr,80,xmr,
xmr.crypto-pool.fr,8080,xmr,
xmr.crypto-pool.fr,443,xmr,
pool.minexmr.com,3333,xmr,
pool.minexmr.com,4444,xmr,
pool.minexmr.com,5555,xmr,
pool.minexmr.com,6666,xmr,
pool.minexmr.com,7777,xmr,
pool.minexmr.com,80,xmr,
pool.minexmr.com,443,xmr,
de.minexmr.com,3333,xmr,
de.minexmr.com,4444,xmr,
de.minexmr.com,5555,xmr,
de.minexmr.com,6666,xmr,
de.minexmr.com,7777,xmr,
de.minexmr.com,80,xmr,
de.minexmr.com,443,xmr,
fr.minexmr.com,3333,xmr,
fr.minexmr.com,4444,xmr,
fr.minexmr.com,5555,xmr,
fr.minexmr.com,6666,xmr,
fr.minexmr.com,7777,xmr,
fr.minexmr.com,80,xmr,
fr.minexmr.com,443,xmr,
ca.minexmr.com,3333,xmr,
ca.minexmr.com,4444,xmr,
ca.minexmr.com,5555,xmr,
ca.minexmr.com,6666,xmr,
ca.minexmr.com,7777,xmr,
ca.minexmr.com,80,xmr,
ca.minexmr.com,443,xmr,
sg.minexmr.com,3333,xmr,
sg.minexmr.com,4444,xmr,
sg.minexmr.com,5555,xmr,
sg.minexmr.com,6666,xmr,
sg.minexmr.com,7777,xmr,
sg.minexmr.com,80,xmr,
sg.minexmr.com,443,xmr,
mine.moneropool.com,3333,xmr,
mine.moneropool.com,3334,xmr,
mine.moneropool.com,3335,xmr,
mine.moneropool.com,3336,xmr,
mine.moneropool.com,80,xmr,
mine.moneropool.com,8080,xmr,
mine.moneropool.com,443,xmr,
